ward,target
21504007: Ward 7,6.906442760153361e+18
21504008: Ward 8,6.980159396206895e+18
21504009: Ward 9,2.001891526387047e+18
21504010: Ward 10,1.51170316206221e+18
21504011: Ward 11,2.0614002053819453e+20
21504012: Ward 12,9.488006173874307e+18
21504013: Ward 13,1.351266074093121e+17
21504014: Ward 14,4.1503448213848224e+17
21504015: Ward 15,4740505689249388.0
21504016: Ward 16,3.3966045897733587e+19
21504017: Ward 17,1.001362383527394e+17
21504018: Ward 18,6.297636690572785e+17
21504019: Ward 19,3.42339605101365e+16
21504020: Ward 20,1.234125660941733e+17
21505001: Ward 1,3.295758345974446e+17
21505002: Ward 2,6.145605414878938e+19
21505003: Ward 3,1.8772917623581046e+18
21505004: Ward 4,1.173613346838122e+19
21505005: Ward 5,4.35569142305177e+19
21505006: Ward 6,1.3831324186146025e+20
21505007: Ward 7,579570048302960.4
21505008: Ward 8,4.936556052519758e+17
21505009: Ward 9,1.0925532754667842e+16
21505010: Ward 10,8715623035203902.0
21505011: Ward 11,1578503312342515.0
21505012: Ward 12,655326272880983.4
21505013: Ward 13,1.6590070017199898e+16
21505014: Ward 14,1.2122258443489806e+16
21505015: Ward 15,2.112984737113119e+16
21505016: Ward 16,2.506319673979743e+18
21505017: Ward 17,2.2549010213967252e+18
21505018: Ward 18,8.782351799599698e+17
21505019: Ward 19,4.877006854379001e+18
21505020: Ward 20,1.106999301785469e+17
21505021: Ward 21,2756082606083343.5
21505022: Ward 22,2.2160640069740655e+19
21505023: Ward 23,7.790468262418264e+20
21505024: Ward 24,1.1007490332921565e+19
21505025: Ward 25,1.435544543338465e+18
21505026: Ward 26,3.485093350062583e+19
21505027: Ward 27,2.497034572632962e+19
21505028: Ward 28,2.8783777830824896e+17
21505029: Ward 29,4.2181245162067336e+16
21505030: Ward 30,1.2944091813643446e+17
21505031: Ward 31,8.491580518503857e+18
21506001: Ward 1,4.5298176811847834e+17
21506002: Ward 2,220839758949067.56
21506003: Ward 3,1.2290079621110075e+17
21506004: Ward 4,1.3720018925559058e+16
21506005: Ward 5,1.460951320930714e+17
21506006: Ward 6,143705339138538.5
21506007: Ward 7,1.0629825505403826e+17
21506008: Ward 8,6.662853020498639e+18
21506009: Ward 9,1.2750563737833814e+17
21506010: Ward 10,2.1015593327449154e+19
21506011: Ward 11,7.3463077209406554e+19
21506012: Ward 12,1.5998680844458892e+16
21506013: Ward 13,2.760635593419242e+19
21506014: Ward 14,1.1508127343153128e+16
21506015: Ward 15,286437106776804.25
21506016: Ward 16,1.350332176858707e+18
21506017: Ward 17,3.2526342330236815e+18
21506018: Ward 18,1.0543520886573708e+16
21506019: Ward 19,3.8441060025311104e+17
21506020: Ward 20,1.151571964875682e+17
21506021: Ward 21,1.0755760296324982e+17
21506022: Ward 22,3.7134403017123904e+17
21506023: Ward 23,1.954644064642928e+17
21506024: Ward 24,3.5792036341517946e+17
21506025: Ward 25,2.4882300819460654e+18
21506026: Ward 26,4.701447322683734e+16
21507001: Ward 1,4965123947465.903
21507002: Ward 2,1415590699605.9395
21507003: Ward 3,1377990330951.9246
21507004: Ward 4,1144818187484.6333
21507005: Ward 5,340765632.7280481
21507006: Ward 6,120462995.88533968
21507007: Ward 7,27255181316.34178
21507008: Ward 8,5683583790.714228
21507009: Ward 9,488533517139.18787
21507010: Ward 10,1.4182334126948878e+16
21507011: Ward 11,2899065060459417.0
21507012: Ward 12,169874172923414.8
21507013: Ward 13,158101468629.58487
21507014: Ward 14,225135073823643.8
21507015: Ward 15,1.1832868206922465e+18
21507016: Ward 16,1.0939222849442504e+16
21507017: Ward 17,9.704272216361232e+16
21507018: Ward 18,2.8525138411643325e+17
21507019: Ward 19,5.310653340991032e+16
21507020: Ward 20,3.5139667521941965e+18
21507021: Ward 21,1.1838813806176243e+17
21507022: Ward 22,1.705356188942601e+17
21507023: Ward 23,1.0192188655014995e+17
21507024: Ward 24,1.4613514083355966e+16
21507025: Ward 25,7.130821245561462e+17
21507026: Ward 26,2.584278718176326e+18
21507027: Ward 27,9.877185838624024e+17
21507028: Ward 28,2.9045120898764676e+16
21507029: Ward 29,1.3416887932446078e+16
21507030: Ward 30,114463190752811.86
21507031: Ward 31,6.551168561497917e+16
21507032: Ward 32,7319634006789124.0
21507033: Ward 33,110288836998045.28
21507034: Ward 34,3.336265684145021e+16
21507035: Ward 35,5.222844977269319e+16
24401001: Ward 1,85181307288770.6
24401002: Ward 2,1.7816708144361676e+16
24401003: Ward 3,3.044172951524737e+17
24401004: Ward 4,6.435776941965405e+17
24401005: Ward 5,2.3545305369722694e+17
24401006: Ward 6,2.349694481542329e+17
24401007: Ward 7,1.6574262329604017e+18
24401008: Ward 8,1336259868070242.2
24401009: Ward 9,7.318409107023647e+17
24401010: Ward 10,2.7942676327092688e+17
24401011: Ward 11,1.4357526215036905e+18
24401012: Ward 12,4.2089907532222957e+17
24401013: Ward 13,1.1274319255240288e+16
24401014: Ward 14,6.672570375398954e+17
24401015: Ward 15,6.909000413557644e+18
24401016: Ward 16,1.479078480391497e+17
24401017: Ward 17,3.8905451632081766e+17
24401018: Ward 18,1.0637081745113804e+18
24401019: Ward 19,75369275.71987443
24401020: Ward 20,112074193757884.06
24401021: Ward 21,5134583663792848.0
24401022: Ward 22,5.298285110791413e+17
24401023: Ward 23,5.240558879554452e+17
24401024: Ward 24,2.4257671113200944e+17
24401025: Ward 25,3.756587240792823e+17
24401026: Ward 26,181921072035.5734
24402001: Ward 1,4268504227979073.0
24402002: Ward 2,6.401564296892955e+19
24402003: Ward 3,2.8388089119912326e+17
24402004: Ward 4,1.3357978498122525e+17
24402005: Ward 5,3.447158695801206e+18
24402006: Ward 6,5.678502939522384e+18
24402007: Ward 7,511859367299150.56
24402008: Ward 8,2.6547204008179757e+17
24402009: Ward 9,213595392915199.3
24402010: Ward 10,2.255852606882421e+21
24402011: Ward 11,4.783560007941389e+18
24402012: Ward 12,4.751030558380981e+18
24402013: Ward 13,1.1040153208072746e+18
24402014: Ward 14,8.181710744809122e+18
24402015: Ward 15,1.9870353254089395e+17
24402016: Ward 16,1436165708309359.5
24402017: Ward 17,3965597981312445.0
24402018: Ward 18,1322400945962.2344
24402019: Ward 19,1.2865550912357722e+17
24402020: Ward 20,4.919836890223115e+17
24402021: Ward 21,1.433320948102653e+18
24402022: Ward 22,3588583744688729.0
24402023: Ward 23,2.895706990780681e+18
24402024: Ward 24,6.10957317633802e+18
24402025: Ward 25,1.1204164305586864e+16
24402026: Ward 26,6.316678469015704e+18
24402027: Ward 27,564990939495082.5
24403001: Ward 1,426379015873433.0
24403002: Ward 2,1.5121893597407619e+18
24403003: Ward 3,6.25353398980318e+17
24403004: Ward 4,3.9734562553830333e+18
24403005: Ward 5,2.0221352670214573e+17
24403006: Ward 6,8.543658789350885e+16
24403007: Ward 7,5734412225564193.0
24403008: Ward 8,4.867910879731626e+17
24403009: Ward 9,1.9232972912009222e+17
24403010: Ward 10,5.132910507886314e+17
24403011: Ward 11,7.993484881919517e+17
24403012: Ward 12,8.353749830375432e+17
24403013: Ward 13,4364314073810115.5
24403014: Ward 14,4.3532657474244326e+17
24403015: Ward 15,4.365474812916554e+17
24403016: Ward 16,2.3964341965495974e+17
24403017: Ward 17,3781794048464686.0
24403018: Ward 18,5.599252159985273e+16
24403019: Ward 19,1.6447546957994608e+16
24403020: Ward 20,4.327121163826227e+16
24403021: Ward 21,5.196358118090091e+16
24403022: Ward 22,2.040411374697807e+16
24403023: Ward 23,1427944834418848.8
24403024: Ward 24,20087833978129.848
24403025: Ward 25,6.132329101448156e+17
24403026: Ward 26,8.620001521536296e+16
24403027: Ward 27,3.232433564452171e+17
24403028: Ward 28,1.4227758088424083e+17
24403029: Ward 29,4084644803791368.5
24403030: Ward 30,2.2819332677730948e+16
24403031: Ward 31,1.4474149168565094e+17
24404001: Ward 1,2.136792005345016e+17
24404002: Ward 2,1.464117478534035e+18
24404003: Ward 3,1.6143652911251962e+19
24404004: Ward 4,6.748755345704685e+18
24404005: Ward 5,5.347886359001137e+18
24404006: Ward 6,4.80718972753099e+18
24404007: Ward 7,6.848491949248438e+17
24404008: Ward 8,2.401773472318226e+16
24404009: Ward 9,1196746323646381.0
24404010: Ward 10,2.628073168568843e+18
24404011: Ward 11,3.629627211719582e+18
24404012: Ward 12,2.678033365022e+16
24404013: Ward 13,5161776241435134.0
24404014: Ward 14,1.1376986114147551e+18
24404015: Ward 15,1.8695392011216036e+18
24404016: Ward 16,2.433396086408803e+18
24404017: Ward 17,3.213887265962123e+19
29200001: Ward 1,21978971710.19014
29200002: Ward 2,150680306290.53085
29200003: Ward 3,782465687.1243056
29200004: Ward 4,27160.658680502027
29200005: Ward 5,8490057648702.743
29200006: Ward 6,5414605262982.266
29200007: Ward 7,5890588032549.217
29200008: Ward 8,4616714935240.528
29200009: Ward 9,221558268.20302564
29200010: Ward 10,10260673621.716787
29200011: Ward 11,1464000917336.1504
29200012: Ward 12,1283716401299.2483
29200013: Ward 13,1051058592625.335
29200014: Ward 14,854437315852.4158
29200015: Ward 15,61269519.89785781
29200016: Ward 16,61951238.09082014
29200017: Ward 17,3012693324504.289
29200018: Ward 18,121783.87569275215
29200019: Ward 19,2385720693.234343
29200020: Ward 20,150213035800.95944
29200021: Ward 21,46231007748.14099
29200022: Ward 22,262111857108.19748
29200023: Ward 23,63563983482.57054
29200024: Ward 24,21996938883533.703
29200025: Ward 25,74453587057.16837
29200026: Ward 26,142787742402710.34
29200027: Ward 27,35577.20588349062
29200028: Ward 28,105872287.44672106
29200029: Ward 29,969060398.7758054
29200030: Ward 30,279127150646.2849
29200031: Ward 31,2330460105.618977
29200032: Ward 32,1.3575872927253966e+16
29200033: Ward 33,1654299039716923.5
29200034: Ward 34,11622531026248.84
29200035: Ward 35,1808043314.9418585
29200036: Ward 36,3053222978473.6274
29200037: Ward 37,65436842.28859394
29200038: Ward 38,1691304072413598.5
29200039: Ward 39,18938308716.705215
29200040: Ward 40,161669459286040.2
29200041: Ward 41,10606418462.410076
29200042: Ward 42,718600115923.2435
29200043: Ward 43,59584694400.23437
29200044: Ward 44,3011485821.1730576
29200045: Ward 45,321787148360.6937
29200046: Ward 46,289025183.33734155
29200047: Ward 47,2487906511.1039996
29200048: Ward 48,197674265838.42944
29200049: Ward 49,1.1701560423188764e+16
29200050: Ward 50,1441754360656.2524
29300001: Ward 1,74008.26415747148
29300002: Ward 2,512076.1380711746
29300003: Ward 3,49549.33864424078
29300004: Ward 4,15256231845.304504
29300005: Ward 5,29335198.47509461
29300006: Ward 6,20944.819764052314
29300007: Ward 7,787059.9071819218
29300008: Ward 8,19479.35172255792
29300009: Ward 9,29050.61436483156
29300010: Ward 10,17197796.937764566
29300011: Ward 11,16336901.10274364
29300012: Ward 12,381833.7317431835
29300013: Ward 13,7665201677.68597
29300014: Ward 14,27952553634.7063
29300015: Ward 15,68647322773.24622
29300016: Ward 16,246673523714.48553
29300017: Ward 17,83637191401.63234
29300018: Ward 18,338300165368.95386
29300019: Ward 19,446679040728.9403
29300020: Ward 20,210736202005.2747
29300021: Ward 21,53912438361.257484
29300022: Ward 22,128281963336.09747
29300023: Ward 23,13106659438.016335
29300024: Ward 24,59664354782.06033
29300025: Ward 25,20474459016.23734
29300026: Ward 26,33762902860.7059
29300027: Ward 27,399723182122.0584
29300028: Ward 28,11159770404.138292
29300029: Ward 29,52929238.05402234
29300030: Ward 30,7136515859.353439
29300031: Ward 31,29346231.759967364
29300032: Ward 32,885307536.7984357
29300033: Ward 33,89172925691.80002
29300034: Ward 34,125857838.40932411
29300035: Ward 35,51869901.7233693
29300036: Ward 36,439396716.65155935
29300037: Ward 37,5335267529.113572
29300038: Ward 38,65384292011.193954
29300039: Ward 39,56577.3262353192
29300040: Ward 40,109591681.29075101
29300041: Ward 41,2570640338.6604714
29300042: Ward 42,659476239056.5605
29300043: Ward 43,195951973738.7998
29300044: Ward 44,146641411600.25006
29300045: Ward 45,47311003717.04707
29300046: Ward 46,21100314292.041058
29300047: Ward 47,209755999449.26602
29300048: Ward 48,75508563.22041471
29300049: Ward 49,16315579.962688748
29300050: Ward 50,104265820596.28975
29300051: Ward 51,39678.771628936716
29300052: Ward 52,2589123.625625582
29300053: Ward 53,8970114.080270367
29300054: Ward 54,415221965755.52185
29300055: Ward 55,559916501009.9535
29300056: Ward 56,87270130910.55977
29300057: Ward 57,59387739767.45282
29300058: Ward 58,9686528510.783146
29300059: Ward 59,419832130.4019187
29300060: Ward 60,365457693.0463085
10101001: Ward 1,171217234.534754
10101002: Ward 2,32798301.00286462
10101003: Ward 3,1840735697.6265898
10101004: Ward 4,341468440.64309233
10101005: Ward 5,596510.6383803564
10101006: Ward 6,233035320.55118197
10101007: Ward 7,6401296.610804439
10101008: Ward 8,9429730.72910591
10102001: Ward 1,934483284.9256074
10102002: Ward 2,28569764.857219335
10102003: Ward 3,178767666.88147146
10102004: Ward 4,75921770.25742158
10102005: Ward 5,3012048.699578014
10102006: Ward 6,19027387456.54262
10103001: Ward 1,1676870.0071449566
10103002: Ward 2,4335218459.225509
10103003: Ward 3,3729659.591276195
10103004: Ward 4,254186740.8797506
10103005: Ward 5,44990899.25394018
10103006: Ward 6,166759.15434251292
10103007: Ward 7,3053003.2169062654
10104001: Ward 1,398990499.45117843
10104002: Ward 2,254596863.2056411
10104003: Ward 3,4268491.262014128
10104004: Ward 4,489371325.17026687
10104005: Ward 5,12050.772036392698
10104006: Ward 6,85819.14132456906
10104007: Ward 7,313737985.1879468
10104008: Ward 8,9432.658197400682
10104009: Ward 9,37165936.64343564
10104010: Ward 10,96429.80823307973
10104011: Ward 11,152451.13402502175
10104012: Ward 12,706829388.2497307
10104013: Ward 13,1054848.026122608
10105001: Ward 1,987052.3015395857
10105002: Ward 2,6484508.210411675
10105003: Ward 3,12566478.867883192
10105004: Ward 4,124145524.66744493
10105005: Ward 5,742085.9520979872
10105006: Ward 6,89763723.81102538
10105007: Ward 7,122718271.18972906
10105008: Ward 8,247275.73124034138
10105009: Ward 9,2825218982.280163
10105010: Ward 10,37110.65176134417
10105011: Ward 11,304564667.1833037
10105012: Ward 12,88827836.68180189
10202001: Ward 1,137778328653.14825
10202002: Ward 2,22307956.91063766
10202003: Ward 3,3195712.186166438
10202004: Ward 4,6534092.166382212
10202005: Ward 5,2889719.3788459552
10202006: Ward 6,294398427.1641404
10202007: Ward 7,53408808.21868597
10202008: Ward 8,3655077.156395502
10202009: Ward 9,769326.9699498208
10202010: Ward 10,499555286.4436219
10202011: Ward 11,112946654.21836035
10202012: Ward 12,143984808.93809003
10203001: Ward 1,10631129.748968206
10203002: Ward 2,36814.56763135728
10203003: Ward 3,130667654.9289619
10203004: Ward 4,43056.74638460328
10203005: Ward 5,183165381.9823807
10203006: Ward 6,45995553409.76451
10203007: Ward 7,41429525.491088614
10203008: Ward 8,21253471104.59381
10203009: Ward 9,69203617302.64711
10203010: Ward 10,52499058.83915318
10203011: Ward 11,34743175.91657813
10203012: Ward 12,51141748725.44284
10203013: Ward 13,161174337.27382436
10203014: Ward 14,3699787973.1429205
10203015: Ward 15,9032.119445348217
10203016: Ward 16,6997094516506.527
10203017: Ward 17,911409.7427075673
10203018: Ward 18,4547351.073834958
10203019: Ward 19,74096.75861394228
10203020: Ward 20,49398920.65862235
10203021: Ward 21,9902477558.471334
10203022: Ward 22,1082643.2864406148
10203023: Ward 23,3387177.5300231352
10203024: Ward 24,32574458225.1394
10203025: Ward 25,49203744.10912727
10203026: Ward 26,30063788.26064371
10203027: Ward 27,740646852.6541826
10203028: Ward 28,396520.5698400431
10203029: Ward 29,2694746.9177129287
